股票代码,简称,1,2,3,4,5,6,7,8,9,10
600225,天津松江,"","","","","","","","","",""
600226,升华拜克,"","","","","","","","","",""
600227,赤天化,"","","","","","","","","",""
600228,昌九生化,"","","","","","","","","",""
600229,青岛碱业,"","","","","","","","","",""
600230,沧州大化,"","","","","","","","","",""
600231,凌钢股份,"","","","","","","","","",""
600232,金鹰股份,"","","","","","","","","",""
600233,大杨创世,"","","","","","","","","",""
600234,*ST天龙,"","","","","","","","","",""
600235,民丰特纸,"","","","","","","","","",""
600236,桂冠电力,"","","","","","","","","",""
600237,铜峰电子,"","","","","","","","","",""
600238,海南椰岛,"","","","","","","","","",""
600239,云南城投,"","","","","","","","","",""
600240,华业地产,"","","","","","","","","",""
600241,时代万恒,"","","","","","","","","",""
600242,中昌海运,"","","","","","","","","",""
600243,青海华鼎,"","","","","","","","","",""
600246,万通地产,"","","","","","","","","",""
600247,成城股份,"","","","","","","","","",""
600248,延长化建,"","","","","","","","","",""
600249,两面针,"","","","","","","","","",""
600250,南纺股份,"","","","","","","","","",""
600251,冠农股份,"","","","","","","","","",""
600252,中恒集团,"","","","","","","","","",""
600253,天方药业,"","","","","","","","","",""
600255,鑫科材料,"","","","","","","","","",""
600256,广汇能源,"","","","","","","","","",""
600257,大湖股份,"","","","","","","","","",""
600258,首旅酒店,"","","","","","","","","",""
600259,广晟有色,"","","","","","","","","",""
600260,凯乐科技,"","","","","","","","","",""
600261,阳光照明,"","","","","","","","","",""
600262,北方股份,"","","","","","","","","",""
600263,路桥建设,"","","","","","","","","",""
600265,*ST景谷,"","","","","","","","","",""
600266,北京城建,"","","","","","","","","",""
600267,海正药业,"","","","","","","","","",""
600268,国电南自,"","","","","","","","","",""
600269,赣粤高速,"","","","","","","","","",""
600270,外运发展,"","","","","","","","","",""
600271,航天信息,"","","","","","","","","",""
600272,开开实业,"","","","","","","","","",""
600273,华芳纺织,"","","","","","","","","",""
600275,武昌鱼,"","","","","","","","","",""
600276,恒瑞医药,"","","","","","","","","",""
600277,亿利能源,"","","","","","","","","",""
600278,东方创业,"","","","","","","","","",""
600279,重庆港九,"","","","","","","","","",""
600280,中央商场,"","","","","","","","","",""
600281,太化股份,"","","","","","","","","",""
600282,南钢股份,"","","","","","","","","",""
600283,钱江水利,"","","","","","","","","",""
600284,浦东建设,"","","","","","","","","",""
600285,羚锐制药,"","","","","","","","","",""
600286,S*ST国瓷,"","","","","","","","","",""
600287,江苏舜天,"","","","","","","","","",""
600288,大恒科技,"","","","","","","","","",""
600289,亿阳信通,"","","","","","","","","",""
600290,华仪电气,"","","","","","","","","",""
600291,西水股份,"","","","","","","","","",""
600292,中电远达,"","","","","","","","","",""
600293,三峡新材,"","","","","","","","","",""
600295,鄂尔多斯,"","","","","","","","","",""
600296,S兰铝,"","","","","","","","","",""
600297,美罗药业,"","","","","","","","","",""
600298,安琪酵母,"","","","","","","","","",""
600299,蓝星新材,"","","","","","","","","",""
600300,维维股份,"","","","","","","","","",""
600301,*ST南化,"","","","","","","","","",""
600302,标准股份,"","","","","","","","","",""
600303,曙光股份,"","","","","","","","","",""
600305,恒顺醋业,"","","","","","","","","",""
600306,商业城,"","","","","","","","","",""
600307,酒钢宏兴,"","","","","","","","","",""
600308,华泰股份,"","","","","","","","","",""
600309,万华化学,"","","","","","","","","",""
600310,桂东电力,"","","","","","","","","",""
600311,荣华实业,"","","","","","","","","",""
600312,平高电气,"","","","","","","","","",""
600313,中农资源,"","","","","","","","","",""
600315,上海家化,"","","","","","","","","",""
600316,洪都航空,"","","","","","","","","",""
600317,营口港,"","","","","","","","","",""
600318,巢东股份,"","","","","","","","","",""
600319,*ST亚星,"","","","","","","","","",""
600320,振华重工,"","","","","","","","","",""
600321,国栋建设,"","","","","","","","","",""
600322,天房发展,"","","","","","","","","",""
600323,南海发展,"","","","","","","","","",""
600325,华发股份,"","","","","","","","","",""
600326,西藏天路,"","","","","","","","","",""
600327,大东方,"","","","","","","","","",""
600328,兰太实业,"","","","","","","","","",""
600329,中新药业,"","","","","","","","","",""
600330,天通股份,"","","","","","","","","",""
600331,宏达股份,"","","","","","","","","",""
600332,白云山,"","","","","","","","","",""
600333,长春燃气,"","","","","","","","","",""
600335,国机汽车,"","","","","","","","","",""
600336,澳柯玛,"","","","","","","","","",""
600337,美克股份,"","","","","","","","","",""
600338,西藏珠峰,"","","","","","","","","",""
600339,天利高新,"","","","","","","","","",""
600340,华夏幸福,"","","","","","","","","",""
600343,航天动力,"","","","","","","","","",""
600345,长江通信,"","","","","","","","","",""
600346,大橡塑,"","","","","","","","","",""
600348,阳泉煤业,"","","","","","","","","",""
600350,山东高速,"","","","","","","","","",""
600351,亚宝药业,"","","","","","","","","",""
600352,浙江龙盛,"","","","","","","","","",""
600353,旭光股份,"","","","","","","","","",""
600354,敦煌种业,"","","","","","","","","",""
600355,精伦电子,"","","","","","","","","",""
600356,恒丰纸业,"","","","","","","","","",""
600357,承德钒钛,"","","","","","","","","",""
600358,*ST联合,"","","","","","","","","",""
600359,新农开发,"","","","","","","","","",""
600360,华微电子,"","","","","","","","","",""
600361,华联综超,"","","","","","","","","",""
600362,江西铜业,"","","","","","","","","",""
600363,联创光电,"","","","","","","","","",""
600365,通葡股份,"","","","","","","","","",""
600366,宁波韵升,"","","","","","","","","",""
600367,红星发展,"","","","","","","","","",""
600368,五洲交通,"","","","","","","","","",""
600369,西南证券,"","","","","","","","","",""
600370,三房巷,"","","","","","","","","",""
600371,万向德农,"","","","","","","","","",""
600372,中航电子,"","","","","","","","","",""
600373,中文传媒,"","","","","","","","","",""
600375,华菱星马,"","","","","","","","","",""
600376,首开股份,"","","","","","","","","",""
600377,宁沪高速,"","","","","","","","","",""
600378,天科股份,"","","","","","","","","",""
600379,宝光股份,"","","","","","","","","",""
600380,健康元,"","","","","","","","","",""
600381,*ST贤成,"","","","","","","","","",""
600382,广东明珠,"","","","","","","","","",""
600383,金地集团,"","","","","","","","","",""
600385,*ST金泰,"","","","","","","","","",""
600386,北巴传媒,"","","","","","","","","",""
600387,海越股份,"","","","","","","","","",""
600388,龙净环保,"","","","","","","","","",""
600389,江山股份,"","","","","","","","","",""
600390,金瑞科技,"","","","","","","","","",""
600391,成发科技,"","","","","","","","","",""
600392,盛和资源,"","","","","","","","","",""
600393,东华实业,"","","","","","","","","",""
600395,盘江股份,"","","","","","","","","",""
600396,金山股份,"","","","","","","","","",""
600397,安源煤业,"","","","","","","","","",""
600398,凯诺科技,"","","","","","","","","",""
600399,抚顺特钢,"","","","","","","","","",""
600400,红豆股份,"","","","","","","","","",""
600401,海润光伏,"","","","","","","","","",""
600403,大有能源,"","","","","","","","","",""
600405,动力源,"","","","","","","","","",""
600406,国电南瑞,"","","","","","","","","",""
600408,安泰集团,"","","","","","","","","",""
600409,三友化工,"","","","","","","","","",""
600410,华胜天成,"","","","","","","","","",""
600415,小商品城,"","","","","","","","","",""
600416,湘电股份,"","","","","","","","","",""
600418,江淮汽车,"","","","","","","","","",""
600419,新疆天宏,"","","","","","","","","",""
600420,现代制药,"","","","","","","","","",""
600421,*ST国药,"","","","","","","","","",""
600422,昆明制药,"","","","","","","","","",""
600423,柳化股份,"","","","","","","","","",""
600425,青松建化,"","","","","","","","","",""
600426,华鲁恒升,"","","","","","","","","",""
600428,中远航运,"","","","","","","","","",""
600429,三元股份,"","","","","","","","","",""
600432,吉恩镍业,"","","","","","","","","",""
600433,冠豪高新,"","","","","","","","","",""
600435,北方导航,"","","","","","","","","",""
600436,片仔癀,"","","","","","","","","",""
600438,通威股份,"","","","","","","","","",""
600439,瑞贝卡,"","","","","","","","","",""
600444,*ST国通,"","","","","","","","","",""
600446,金证股份,"","","","","","","","","",""
600448,华纺股份,"","","","","","","","","",""
600449,宁夏建材,"","","","","","","","","",""
600452,涪陵电力,"","","","","","","","","",""
600455,博通股份,"","","","","","","","","",""
600456,宝钛股份,"","","","","","","","","",""
600458,时代新材,"","","","","","","","","",""
600459,贵研铂业,"","","","","","","","","",""
600460,士兰微,"","","","","","","","","",""
600461,洪城水业,"","","","","","","","","",""
600462,石岘纸业,"","","","","","","","","",""
600463,空港股份,"","","","","","","","","",""
600466,迪康药业,"","","","","","","","","",""
600467,好当家,"","","","","","","","","",""
600468,百利电气,"","","","","","","","","",""
600469,风神股份,"","","","","","","","","",""
600470,六国化工,"","","","","","","","","",""
600472,包头铝业,"","","","","","","","","",""
600475,华光股份,"","","","","","","","","",""
600476,湘邮科技,"","","","","","","","","",""
600477,杭萧钢构,"","","","","","","","","",""
600478,科力远,"","","","","","","","","",""
600479,千金药业,"","","","","","","","","",""
600480,凌云股份,"","","","","","","","","",""
600481,双良节能,"","","","","","","","","",""
600482,风帆股份,"","","","","","","","","",""
600483,福建南纺,"","","","","","","","","",""
600485,中创信测,"","","","","","","","","",""
600486,扬农化工,"","","","","","","","","",""
600487,亨通光电,"","","","","","","","","",""
600488,天药股份,"","","","","","","","","",""
600489,中金黄金,"","","","","","","","","",""
600490,鹏欣资源,"","","","","","","","","",""
600491,龙元建设,"","","","","","","","","",""
600493,凤竹纺织,"","","","","","","","","",""
600495,晋西车轴,"","","","","","","","","",""
600496,精工钢构,"","","","","","","","","",""
600497,驰宏锌锗,"","","","","","","","","",""
600498,烽火通信,"","","","","","","","","",""
600499,科达机电,"","","","","","","","","",""
600500,中化国际,"","","","","","","","","",""
600501,航天晨光,"","","","","","","","","",""
600502,安徽水利,"","","","","","","","","",""
600503,华丽家族,"","","","","","","","","",""
600505,西昌电力,"","","","","","","","","",""
600506,香梨股份,"","","","","","","","","",""
600507,方大特钢,"","","","","","","","","",""
600508,上海能源,"","","","","","","","","",""
600509,天富热电,"","","","","","","","","",""
600510,黑牡丹,"","","","","","","","","",""
600511,国药股份,"","","","","","","","","",""
600512,腾达建设,"","","","","","","","","",""
600513,联环药业,"","","","","","","","","",""
600515,海岛建设,"","","","","","","","","",""
600516,方大炭素,"","","","","","","","","",""
600517,置信电气,"","","","","","","","","",""
600518,康美药业,"","","","","","","","","",""
600519,贵州茅台,"","","","","","","","","",""
600520,中发科技,"","","","","","","","","",""
600521,华海药业,"","","","","","","","","",""
600522,中天科技,"","","","","","","","","",""
600523,贵航股份,"","","","","","","","","",""
600525,长园集团,"","","","","","","","","",""
600526,菲达环保,"","","","","","","","","",""
600527,江南高纤,"","","","","","","","","",""
600528,中铁二局,"","","","","","","","","",""
600529,山东药玻,"","","","","","","","","",""
600530,交大昂立,"","","","","","","","","",""
600531,豫光金铅,"","","","","","","","","",""
600532,宏达矿业,"","","","","","","","","",""
600533,栖霞建设,"","","","","","","","","",""
600535,天士力,"","","","","","","","","",""
600536,中国软件,"","","","","","","","","",""
600537,亿晶光电,"","","","","","","","","",""
600538,*ST国发,"","","","","","","","","",""
600539,ST狮头,"","","","","","","","","",""
600540,新赛股份,"","","","","","","","","",""
600543,莫高股份,"","","","","","","","","",""
600545,新疆城建,"","","","","","","","","",""
600546,山煤国际,"","","","","","","","","",""
600547,山东黄金,"","","","","","","","","",""
600548,深高速,"","","","","","","","","",""
600549,厦门钨业,"","","","","","","","","",""
600550,天威保变,"","","","","","","","","",""
600551,时代出版,"","","","","","","","","",""
600552,方兴科技,"","","","","","","","","",""
600553,太行水泥,"","","","","","","","","",""
600555,*ST九龙,"","","","","","","","","",""
600556,*ST北生,"","","","","","","","","",""
600557,康缘药业,"","","","","","","","","",""
600558,大西洋,"","","","","","","","","",""
600559,老白干酒,"","","","","","","","","",""
600560,金自天正,"","","","","","","","","",""
600561,江西长运,"","","","","","","","","",""
600562,国睿科技,"","","","","","","","","",""
600563,法拉电子,"","","","","","","","","",""
600565,迪马股份,"","","","","","","","","",""
600566,洪城股份,"","","","","","","","","",""
600567,山鹰纸业,"","","","","","","","","",""
600568,中珠控股,"","","","","","","","","",""
600569,安阳钢铁,"","","","","","","","","",""
600570,恒生电子,"","","","","","","","","",""
600571,信雅达,"","","","","","","","","",""
600572,康恩贝,"","","","","","","","","",""
600573,惠泉啤酒,"","","","","","","","","",""
600575,芜湖港,"","","","","","","","","",""
600576,万好万家,"","","","","","","","","",""
600577,精达股份,"","","","","","","","","",""
600578,京能电力,"","","","","","","","","",""
600579,*ST黄海,"","","","","","","","","",""
600580,卧龙电气,"","","","","","","","","",""
600581,八一钢铁,"","","","","","","","","",""
600582,天地科技,"","","","","","","","","",""
600583,海油工程,"","","","","","","","","",""
600584,长电科技,"","","","","","","","","",""
600585,海螺水泥,"","","","","","","","","",""
600586,金晶科技,"","","","","","","","","",""
600587,新华医疗,"","","","","","","","","",""
600588,用友软件,"","","","","","","","","",""
600589,广东榕泰,"","","","","","","","","",""
600590,泰豪科技,"","","","","","","","","",""
600591,*ST上航,"","","","","","","","","",""
600592,龙溪股份,"","","","","","","","","",""
600593,大连圣亚,"","","","","","","","","",""
600594,益佰制药,"","","","","","","","","",""
600595,中孚实业,"","","","","","","","","",""
600596,新安股份,"","","","","","","","","",""
600597,光明乳业,"","","","","","","","","",""
600598,北大荒,"","","","","","","","","",""
600599,熊猫烟花,"","","","","","","","","",""
600600,青岛啤酒,"","","","","","","","","",""
600601,方正科技,"","","","","","","","","",""
600602,仪电电子,"","","","","","","","","",""
600603,*ST兴业,"","","","","","","","","",""
600604,市北高新,"","","","","","","","","",""
600605,汇通能源,"","","","","","","","","",""
600606,金丰投资,"","","","","","","","","",""
600607,上实医药,"","","","","","","","","",""
600608,上海科技,"","","","","","","","","",""
600609,金杯汽车,"","","","","","","","","",""
600610,S中纺机,"","","","","","","","","",""
600611,大众交通,"","","","","","","","","",""
600612,老凤祥,"","","","","","","","","",""
600613,神奇制药,"","","","","","","","","",""
600614,鼎立股份,"","","","","","","","","",""
600615,丰华股份,"","","","","","","","","",""
600616,金枫酒业,"","","","","","","","","",""
600617,*ST联华,"","","","","","","","","",""
600618,氯碱化工,"","","","","","","","","",""
600619,海立股份,"","","","","","","","","",""
600620,天宸股份,"","","","","","","","","",""
600621,华鑫股份,"","","","","","","","","",""
600622,嘉宝集团,"","","","","","","","","",""
600623,双钱股份,"","","","","","","","","",""
600624,复旦复华,"","","","","","","","","",""
600625,PT水仙,"","","","","","","","","",""
600626,申达股份,"","","","","","","","","",""
600627,上电股份,"","","","","","","","","",""
600628,新世界,"","","","","","","","","",""
600629,棱光实业,"","","","","","","","","",""
600630,龙头股份,"","","","","","","","","",""
600631,百联股份,"","","","","","","","","",""
600632,华联商厦,"","","","","","","","","",""
600633,浙报传媒,"","","","","","","","","",""
600634,ST澄海,"","","","","","","","","",""
600635,大众公用,"","","","","","","","","",""
600636,三爱富,"","","","","","","","","",""
600637,百视通,"","","","","","","","","",""
600638,新黄浦,"","","","","","","","","",""
600639,浦东金桥,"","","","","","","","","",""
600640,号百控股,"","","","","","","","","",""
600641,万业企业,"","","","","","","","","",""
600642,申能股份,"","","","","","","","","",""
600643,爱建股份,"","","","","","","","","",""
600644,乐山电力,"","","","","","","","","",""
600645,中源协和,"","","","","","","","","",""
600646,ST国嘉,"","","","","","","","","",""
600647,同达创业,"","","","","","","","","",""
600648,外高桥,"","","","","","","","","",""
600649,城投控股,"","","","","","","","","",""
600650,锦江投资,"","","","","","","","","",""
600651,飞乐音响,"","","","","","","","","",""
600652,爱使股份,"","","","","","","","","",""
600653,申华控股,"","","","","","","","","",""
600654,飞乐股份,"","","","","","","","","",""
600655,豫园商城,"","","","","","","","","",""
600656,博元投资,"","","","","","","","","",""
600657,信达地产,"","","","","","","","","",""
600658,电子城,"","","","","","","","","",""
600659,*ST花雕,"","","","","","","","","",""
600660,福耀玻璃,"","","","","","","","","",""
600661,新南洋,"","","","","","","","","",""
600662,强生控股,"","","","","","","","","",""
600663,陆家嘴,"","","","","","","","","",""
600664,哈药股份,"","","","","","","","","",""
600665,天地源,"","","","","","","","","",""
600666,西南药业,"","","","","","","","","",""
600667,太极实业,"","","","","","","","","",""
600668,尖峰集团,"","","","","","","","","",""
600669,*ST鞍成,"","","","","","","","","",""
600670,*ST斯达,"","","","","","","","","",""
600671,天目药业,"","","","","","","","","",""
600672,*ST华圣,"","","","","","","","","",""
600673,东阳光铝,"","","","","","","","","",""
600674,川投能源,"","","","","","","","","",""
600675,中华企业,"","","","","","","","","",""
600676,交运股份,"","","","","","","","","",""
600677,航天通信,"","","","","","","","","",""
600678,四川金顶,"","","","","","","","","",""
600679,金山开发,"","","","","","","","","",""
600680,上海普天,"","","","","","","","","",""
600681,万鸿集团,"","","","","","","","","",""
600682,南京新百,"","","","","","","","","",""
600683,京投银泰,"","","","","","","","","",""
600684,珠江实业,"","","","","","","","","",""
600685,广船国际,"","","","","","","","","",""
600686,金龙汽车,"","","","","","","","","",""
600687,刚泰控股,"","","","","","","","","",""
600688,上海石化,"","","","","","","","","",""
600689,上海三毛,"","","","","","","","","",""
600690,青岛海尔,"","","","","","","","","",""
600691,阳煤化工,"","","","","","","","","",""
600692,亚通股份,"","","","","","","","","",""
600693,东百集团,"","","","","","","","","",""
600694,大商股份,"","","","","","","","","",""
600695,大江股份,"","","","","","","","","",""
600696,多伦股份,"","","","","","","","","",""
600697,欧亚集团,"","","","","","","","","",""
600698,ST轻骑,"","","","","","","","","",""
600699,均胜电子,"","","","","","","","","",""
600700,*ST数码,"","","","","","","","","",""
600701,工大高新,"","","","","","","","","",""
600702,沱牌舍得,"","","","","","","","","",""
600703,三安光电,"","","","","","","","","",""
600704,物产中大,"","","","","","","","","",""
600705,中航投资,"","","","","","","","","",""
600706,曲江文旅,"","","","","","","","","",""
600707,*ST彩虹,"","","","","","","","","",""
600708,海博股份,"","","","","","","","","",""
600709,ST生态,"","","","","","","","","",""
600710,常林股份,"","","","","","","","","",""
600711,盛屯矿业,"","","","","","","","","",""
600712,南宁百货,"","","","","","","","","",""
600713,南京医药,"","","","","","","","","",""
600714,金瑞矿业,"","","","","","","","","",""
600715,松辽汽车,"","","","","","","","","",""
600716,凤凰股份,"","","","","","","","","",""
600717,天津港,"","","","","","","","","",""
600718,东软集团,"","","","","","","","","",""
600719,大连热电,"","","","","","","","","",""
600720,祁连山,"","","","","","","","","",""
600721,百花村,"","","","","","","","","",""
600722,金牛化工,"","","","","","","","","",""
600723,首商股份,"","","","","","","","","",""
600724,宁波富达,"","","","","","","","","",""
600725,云维股份,"","","","","","","","","",""
600726,华电能源,"","","","","","","","","",""
600727,鲁北化工,"","","","","","","","","",""
600728,佳都新太,"","","","","","","","","",""
600729,重庆百货,"","","","","","","","","",""
600730,中国高科,"","","","","","","","","",""
600731,湖南海利,"","","","","","","","","",""
600732,上海新梅,"","","","","","","","","",""
600733,S前锋,"","","","","","","","","",""
600734,实达集团,"","","","","","","","","",""
600735,新华锦,"","","","","","","","","",""
600736,苏州高新,"","","","","","","","","",""
600737,中粮屯河,"","","","","","","","","",""
600738,兰州民百,"","","","","","","","","",""
600739,辽宁成大,"","","","","","","","","",""
600740,山西焦化,"","","","","","","","","",""
600741,华域汽车,"","","","","","","","","",""
600742,一汽富维,"","","","","","","","","",""
600743,华远地产,"","","","","","","","","",""
600744,华银电力,"","","","","","","","","",""
600745,中茵股份,"","","","","","","","","",""
600746,江苏索普,"","","","","","","","","",""
600747,大连控股,"","","","","","","","","",""
600748,上实发展,"","","","","","","","","",""
600749,西藏旅游,"","","","","","","","","",""
600750,江中药业,"","","","","","","","","",""
600751,天津海运,"","","","","","","","","",""
600752,*ST哈慈,"","","","","","","","","",""
600753,东方银星,"","","","","","","","","",""
600754,锦江股份,"","","","","","","","","",""
600755,厦门国贸,"","","","","","","","","",""
600756,浪潮软件,"","","","","","","","","",""
600757,长江传媒,"","","","","","","","","",""
