股票代码,简称,公司法定中文名称,公司法定代表人,公司注册地址,公司办公地址邮政编码,公司国际互联网网址,公司董事会秘书姓名,公司董事会秘书电话,公司董事会秘书电子信箱,报告期末股东总数,每10股送红股数,每10股派息数（含税）,每10股转增数,本期营业收入(元),本期营业利润(元),利润总额(元),归属于上市公司股东的净利润(元),归属于上市公司股东的扣除非经常性损益的净利润(元),经营活动产生的现金流量净额(元),总资产(元),所有者权益（或股东权益）(元),基本每股收益(元/股),稀释每股收益(元/股),扣除非经常性损益后的基本每股收益(元/股),全面摊薄净资产收益率（%）,加权平均净资产收益率（%）,扣除非经常性损益后全面摊薄净资产收益率（%）,扣除非经常性损益后的加权平均净资产收益率（%）,每股经营活动产生的现金流量净额(元/股),归属于上市公司股东的每股净资产（元/股）
600039,四川路桥,"四川路桥建设股份有限公司","孙云","四川省成都市高朋大道11号科技工业园F-59号","610041","www.scrbc.com.cn","曹川","028-85126085","srbcdsh@163.com","57,538","0","1.5","0","24,929,693,330.23","0","0","675,087,599.38","499,886,739.92","599,930,996.78","34,338,938,379.95","3,841,976,126.13","0.65","0.65","0.63","0","19.74","0","21","0","0"
600048,保利地产,"保利房地产（集团）股份有限公司","宋广菊","广州市海珠区阅江中路688号保利国际广场29-33层","510308","www.polycn.com;www.gzpoly.com","黄海","020-89898833","stock@polycn.com","97,706","0","2.32","0","68,905,756,710.27","0","0","8,438,233,558.38","8,347,808,045.72","3,092,581,274.99","251,168,617,582.24","42,486,380,748.2","1.18","1.18","1.17","0","21.84","0","21.6","0","0"
600050,中国联通,"中国联合网络通信股份有限公司","常小兵","上海市长宁区长宁路1033号29楼","200050","www.chinaunicom-a.com","张健（代行董事会秘书）","021-52732228","zhangjian@chinaunicom-a.com","859,862","0","0.4","0","256,264,749,435","0","0","2,368,106,789","1,977,238,910","74,738,405,183","518,357,290,110","72,297,283,180","0.11","0.11","0.09","0","3.31","0","2.76","0","0"
600051,宁波联合,"宁波联合集团股份有限公司","李水荣","宁波开发区东海路1号联合大厦","315803","http://www.nug.com.cn","董庆慈","0574-86221609","dqc@nug.com.cn","38,638","0","1","0","3,023,927,135.21","0","0","33,108,428.9","-60,095,859.6","1,553,589.83","6,486,730,233.8","1,881,976,373.3","0.11","0.11","-0.2","0","1.81","0","-3.29","0","0"
600052,浙江广厦,"浙江广厦股份有限公司","杜鹤鸣","浙江省东阳市振兴路1号西侧","310013","http://www.gsgf.com","包宇芬","0571-87974176","baoyufen@gsgf.com ","69,145","0","0.3","0","1,520,252,017.3","0","0","57,315,290.44","55,207,334.42","12,882,759.99","9,447,186,641.81","1,831,006,908.65","0.07","0.07","0.06","0","2.95","0","2.85","0","0"
600053,中江地产,"江西中江地产股份有限公司","钟虹光","江西省南昌市湾里区翠岩路1号","330077","www.jzjt.com","钟虹光(董事长代行职责)","0791-88164127","zjre600053@126.com","17,521","0","0.2","0","330,603,131.5","0","0","12,647,143.73","11,152,787.85","5,337,570.57","2,986,445,010.52","793,021,604.05","0.03","0.03","0.03","0","1.61","0","1.42","0","0"
600054,黄山旅游,"黄山旅游发展股份有限公司","许继伟","安徽省黄山市黄山风景区温泉","245800","http://www.huangshan.com.cn或tourmart.cn","黄慧敏","0559-5580567","hshhm666@126.com","52,864","0","0.3","0","1,841,407,664.03","0","0","240,008,243.3","233,949,013.26","361,327,127.53","3,379,676,769.12","1,901,049,727.37","0.51","0.51","0.5","0","13.23","0","12.9","0","0"
600055,华润万东,"华润万东医疗装备股份有限公司","陈刚","北京市朝阳区酒仙桥东路9号院3号楼","100015","http://www.wandong.com.cn","张丹石","010-84569688","wdyL055@263.net.cn","18,266","0","0.5","0","690,346,218.67","0","0","32,257,025.46","26,805,598.43","65,747,965.15","1,090,433,764.35","636,369,277.14","0.15","0.15","0.12","0","5.2","0","4.32","0","0"
600056,中国医药,"中国医药保健品股份有限公司","张本智","北京市东城区光明中街18号","100061","http://www.meheco.cn","齐建西","010-67164267","qijx999@yahoo.com.cn","19,480","0","3.5","0","9,901,358,348.99","0","0","348,560,226.97","338,212,638.21","961,254,426.81","8,177,916,318.68","2,000,474,131.26","1.12","1.12","1.09","0","18.93","0","18.37","0","0"
600057,象屿股份,"厦门象屿股份有限公司","王龙雏","厦门市现代物流园区象屿路99号厦门国际航运中心E栋7层08单元","361006","www.xiangyu.cn","吕东","0592-6516003","stock@xiangyu.cn","58,334","0","0","0","29,355,741,014.03","0","0","114,857,871.9","-58,095,517.43","472,706,048.08","6,750,549,990.82","1,539,110,258.47","0.13","0.13","-0.07","0","7.77","0","-3.93","0","0"
600058,五矿发展,"五矿发展股份有限公司","周中枢","北京市海淀区三里河路5号B座","100044","www.minlist.com.cn","崔青莲","010-68494205","cuiql@minmetals.com","131,432","0","0","0","149,388,449,893.61","0","0","-380,444,262.64","-650,034,142.31","4,023,844,846.03","43,849,113,622.26","8,259,654,892.06","-0.35","-0.35","-0.61","0","-4.3","0","-7.5","0","0"
600059,古越龙山,"浙江古越龙山绍兴酒股份有限公司","傅建伟","浙江省绍兴市北海桥","312000","http://www.shaoxingwine.com.cn","周娟英","0575-85158435　","zjy@shaoxingwine.com.cn","58,645","0","1","0","1,421,789,152.72","0","0","190,835,006.98","129,290,156.08","71,841,960.54","3,586,446,377","2,408,320,711.83","0.3","0.3","0.2","0","8.19","0","5.55","0","0"
600060,海信电器,"青岛海信电器股份有限公司","于淑珉","青岛市经济技术开发区前湾港路218号","266555","www.hisense.com","王东波","0532-8388 9556","zqb@hisense.com","54,176","0","3.7","0","25,251,980,431","0","0","1,603,158,980.57","1,524,081,725.86","233,760,452.56","18,251,357,297.88","8,784,430,054.23","1.23","1.22","1.17","0","20.1","0","19.11","0","0"
600061,中纺投资,"中纺投资发展股份有限公司","常俊传","上海浦东新区浦东南路500号国家开发银行大厦4202室","200052","http://www.sinotex-ctrc.com.cn","鲍勤飞","010-52021965","600061@sinotex-ctrc.com.cn","28,478","0","0","0","3,252,610,663.39","0","0","5,097,543.38","-4,326,692.13","105,760,312.85","1,728,443,435.36","590,063,411.93","0.01","0.01","-0.01","0","0.87","0","-0.74","0","0"
600062,华润双鹤,"华润双鹤药业股份有限公司","李福祚","北京市朝阳区望京利泽东二路1号","100102","http://www.dcpc.com","范彦喜","(010)64742227-380","mss@dcpc.com","21,097","0","3.84","0","6,989,323,408.26","0","0","614,408,188.19","541,093,919.99","396,048,302.96","6,507,775,643.51","4,653,606,327.83","1.07","1.07","0.95","0","13.85","0","12.2","0","0"
600063,皖维高新,"安徽皖维高新材料股份有限公司 ","吴福胜","安徽省巢湖市皖维路56号","238002","http://www.wwgf.com.cn","吴尚义","0551-82189280","wusy@wwgf.com.cn","84,180","0","0","0","2,879,150,557.87","0","0","-156,244,478.35","-216,174,657.06","159,042,022.57","6,033,038,677.17","2,437,403,105.82","-0.1","-0.1","-0.14","0","-6.35","0","-8.79","0","0"
600064,南京高科,"南京高科股份有限公司","徐益民","南京经济技术开发区新港大道129号","210038","www.600064.com","谢建晖","025-85800728","600064@600064.com","52,790","0","2.5","0","2,163,458,610.93","0","0","383,809,256.67","259,125,885.19","377,537,989.46","16,348,407,710.53","5,174,984,137.42","0.74","0.74","0.5","0","7.8","0","5.27","0","0"
600065,*ST联谊,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
600066,宇通客车,"郑州宇通客车股份有限公司","汤玉祥","郑州市管城区宇通路","450016","http://www.yutong.com","于莉","0371-66718281","sbd@yutong.com","25,725","0","7","8","19,763,459,199.02","0","0","1,549,721,544.08","1,370,725,211.6","1,372,155,761.82","14,279,110,141.06","7,314,886,000.95","2.31","2.31","2.05","0","25.86","0","22.87","0","0"
600067,冠城大通,"冠城大通股份有限公司","韩国龙","福建省福州市开发区快安延伸区创新楼","350005","www.gcdt.net","肖林寿","0591-83350026","600067@gcdt.net","53,678","0","2.12","0","6,256,271,570.89","0","0","830,837,471.35","581,876,105.55","1,049,530,676.03","14,795,009,774.91","3,578,172,495.5","0.71","0.71","0.49","0","24.7","0","17.3","0","0"
600068,葛洲坝,"中国葛洲坝集团股份有限公司","丁焰章","湖北省武汉市解放大道558号葛洲坝大酒店","430033","http://www.cggc.cn","彭立权","027-83790455","gzb@cggc.cn","303,752","0","1.35","0","53,536,895,341.13","0","0","1,562,512,640.32","1,516,705,008.72","-265,509,608.31","76,408,098,845.43","12,464,252,206.95","0.45","0.45","0.44","0","13.24","0","12.86","0","0"
600069,银鸽投资,"河南银鸽实业投资股份有限公司","王伟","河南省漯河市银鸽路中段","462000","http://www.yinge.com.cn","楚刚","0395-5615559","-","84,654","0","0","0","3,392,585,524.4","0","0","16,497,602.73","-268,770,499.45","108,115,522.59","6,423,539,339.83","1,841,821,271.84","0.02","0.02","-0.33","0","0.9","0","-14.66","0","0"
600070,浙江富润,"浙江富润股份有限公司","赵林中","浙江省诸暨市城关镇安平路42号","311800","www.furun.net","卢伯军","0575-87015763","frdjtx@163.com","23,274","0","3","0","1,056,706,354.62","0","0","127,201,501.91","36,210,046.47","133,695,778","1,548,912,309.36","589,669,913.38","0.7","0.7","0.2","0","23.09","0","6.56","0","0"
600071,凤凰光学,"凤凰光学股份有限公司","罗小勇","江西省上饶市光学路1号","334000","http://www.phenixoptics.com.cn","朱群峰","0793-8259523","qunfengz@phenixoptics.com.cn","31,279","0","0","0","1,360,140,886.2","0","0","6,234,117.63","4,988,355.85","89,216,807.44","1,010,642,809.86","621,398,197.73","0.03","0.03","0.02","0","1.01","0","0.81","0","0"
600072,中船股份,"中船江南重工股份有限公司","孙伟","上海市上川路361号","200023","www.jnhi.com","陈慧","（021）53023456-672","mail@jnhi.com","93,748","0","0","0","1,041,537,260.4","0","0","-76,051,849.12","-93,569,783.26","-140,095,889.89","2,414,966,608.63","1,320,894,883.76","-0.16","-0.16","-0.2","0","-5.56","0","-6.83","0","0"
600073,上海梅林,"上海梅林正广和股份有限公司","周海鸣","上海市浦东新区川桥路1501号","200040","http://www.shanghaimaling.com","虞晓芳","021-58391220","yuxf@shanghaimaling.com","39,843","0","0.7","1","7,852,277,084.37","0","0","140,111,029.72","87,523,248.92","39,167,674.05","5,257,081,427.37","1,876,142,937.46","0.19","0.19","0.12","0","7.52","0","4.65","0","0"
600074,*ST中达,"江苏中达新材料集团股份有限公司","童爱平","南京市经济技术开发区(新港高新技术工业园)","214443","http://www.jszdzm.com","林硕奇","0510-86686352","frog73@yeah.net","49,976","0","0","0","1,745,421,579.59","0","0","-525,936,778.89","-527,984,644.86","89,693,683.19","2,188,687,458.69","-154,497,547.15","-0.8","-0.8","-0.8","0","-460.05","0","-461.84","0","0"
600075,新疆天业,"新疆天业股份有限公司","余天池","新疆石河子市经济技术开发区北三东路36号","832000","http://www.xj-tianye.com","李刚","0993-2623118","ygdq@sohu.com","68,942","0","0","0","4,050,041,562.74","0","0","-71,314,323.35","-89,661,388.31","119,456,673.64","4,483,346,767.45","1,717,912,545.58","-0.16","-0.16","-0.2","0","-4.05","0","-5.09","0","0"
600076,青鸟华光,"潍坊北大青鸟华光科技股份有限公司","周燕军","山东省潍坊市高新技术产业开发区北宫东街6号","261061","www.hg.com.cn","刘世祯","0536-2991601","liusz@hg.com.cn","23,039","0","0","0","12,791,747.53","0","0","37,769,842.79","-13,419,123.6","-13,569,011.4","402,470,483.08","86,012,911.27","0.1","0.1","-0.04","0","55.18","0","-19.6","0","0"
600077,宋都股份,"宋都基业投资股份有限公司","俞建午","杭州市富春路789号宋都大厦506室","310016","http://www.songdu.com","龚睿","0571-86759621","600077@songdu.com","30,705","0","0.37","0","3,062,585,885.98","0","0","387,313,350.59","367,927,137.14","1,364,258,557.63","10,692,184,784.08","2,186,321,640.17","0.36","0.36","0.34","0","19.49","0","18.51","0","0"
600078,澄星股份,"江苏澄星磷化工股份有限公司","李兴","江苏省江阴市梅园大街618号","214432","无","夏正华","0510-80622329","cx@phosphatechina.com","94,817","0","0.2","0","2,661,494,632.58","0","0","27,552,866.95","10,004,317.82","626,055,904.31","5,804,147,842.9","1,742,048,524.61","0.04","0.05","0.02","0","1.59","0","0.58","0","0"
600079,人福医药,"武汉人福医药集团股份有限公司","王学海","武汉市东湖高新区高新大道666号","430075","www.humanwell.com.cn","刘毅","027-87597232","renfu.pr@renfu.com.cn","15,987","0","1","0","5,317,093,009.73","0","0","405,990,787.59","330,996,110.12","172,273,069.29","7,861,257,547.57","3,022,359,102.58","0.82","0.82","0.67","0","14.27","0","11.63","0","0"
600080,金花股份,"金花企业（集团）股份有限公司","吴一坚","西安市高新技术产业开发区科技四路202号","710065","http://www.ginwa.com.cn","孙明","029-88336635","ginwa@pub.xaonline.com、ginwa@public.xa.sn.cn","31,533","0","0.3","0","460,193,983.21","0","0","44,254,978.36","39,445,554.66","18,246,534.65","1,124,048,767.77","960,366,888.18","0.14","0.14","0.13","0","4.72","0","4.2","0","0"
600081,东风科技,"东风电子科技股份有限公司","高大林","上海市浦东新区新金桥路828号","200063","http://www.detc.com.cn","天涯","021-62033003-52","tianya@detc.com.cn","27,975","0","1","0","2,448,824,242.6","0","0","96,896,050.1","90,507,070.18","310,718,540.71","1,851,451,375.07","720,749,875.25","0.31","0.31","0.29","0","14.42","0","13.47","0","0"
600082,海泰发展,"天津海泰科技发展股份有限公司","徐蔚莉","天津新技术产业园区华苑产业区","300384","www.hitech-develop.com","曲阳","（022）8568 9891","quyang@hitech-develop.com","76,169","0","0","0","838,931,952.35","0","0","42,715,811.89","37,792,004.58","-590,639,067.81","2,788,450,295.58","1,664,492,340.47","0.07","0.07","0.06","0","2.55","0","2.26","0","0"
600083,博信股份,"广东博信投资控股股份有限公司","朱凤廉","广东省清远市新城方正二街1号","511518","http://www.600083.com","？振生","0763-3663333","gdbx600083@163.com","20,628","0","0","0","11,908,402.91","0","0","-6,358,544.43","-6,352,426.93","8,096,142.12","44,201,067.13","23,038,250.13","-0.03","-0.03","-0.03","0","-24.25","0","-24.23","0","0"
600084,中葡股份,"中信国安葡萄酒业股份有限公司","孙亚雷","新疆乌鲁木齐市红山路39号","830002","http://www.guoanwine.com","张荣亮","0991-8881238","zhangrongliang@guoanzp.com","34,633","0","0","0","619,039,394.5","0","0","9,950,625.67","-85,492,768.77","-62,108,026.96","2,810,083,225.33","936,893,526.61","0.01","0.01","-0.11","0","1.07","0","-9.17","0","0"
600085,同仁堂,"北京同仁堂股份有限公司","梅群","北京经济技术开发区西环南路8号","100062","http://www.tongrentang.com","贾泽涛","010-67020018","jiazetao@tongrentang.com","89,987","0","2.5","0","7,504,031,977.53","0","0","570,056,218.42","553,506,023.02","873,968,414.52","9,667,926,574.47","3,978,833,688.65","0.44","0.44","0.42","0","15.56","0","15.1","0","0"
600086,东方金钰,"东方金钰股份有限公司","赵兴龙","湖北省鄂州市武昌大道298号","518020","http://www.goldjade.cn","方莉","0755-25266279","fangli_xiaoxiao@sohu.com","36,117","0","0","0","4,826,965,101.94","0","0","160,305,321.62","156,127,150.66","339,681,049.27","4,933,474,363.71","735,558,332.3","0.46","0.46","0.44","0","24.46","0","23.82","0","0"
600087,*ST长油,"中国长江航运集团南京油运股份有限公司","朱宁","南京经济技术开发区新港大道82号金融楼东1幢2楼","210003","http://www.njtc.com.cn","曾善柱","025-58586145；025-58586146","zsz021@vip.sina.com","175,922","0","0","0","6,629,180,994.79","0","0","-1,238,826,662.95","-1,260,870,886.83","-184,939,787.64","19,719,961,426.13","3,766,988,375.37","-0.36","-0.36","-0.37","0","-28.26","0","-28.76","0","0"
600088,中视传媒,"中视传媒股份有限公司","梁晓涛","上海市浦东新区福山路450号新天国际大厦17层A座","（沪）200122；（京）100026","http://www.ctv-media.com.cn","贺芳","021-68765168","irmanager@ctv-media.com.cn","44,674","0","0.41","0","1,228,647,824.73","0","0","45,213,361.42","40,663,864.95","-576,963,262.91","1,859,498,418.84","1,052,819,716.62","0.14","0.14","0.12","0","4.34","0","3.9","0","0"
